property_type,listing_agency,price,address_1,city,state,zip_code,latitude,longitude,product_depth,bedroom_count,bathroom_count,parking_count
Unit,Darwin Residential and Commercial Real Estate Pty Ltd - CASUARINA,329000,2028/55 Cavenagh Street,Darwin City,NT,800,-12.4598937,130.8399738,feature,2,2,1
Apartment,First National Real Estate O'Donoghues - Darwin,559000,24/1 Dashwood Place,Darwin City,NT,800,-12.4559843,130.837446,feature,3,2,2
Apartment,PRD Darwin - DARWIN City,279000,709/43B Knuckey Street,Darwin City,NT,800,-12.4610184,130.8429839,standard,1,1,0
Unit,Real Estate Central - DARWIN CITY,500000,506/90 Esplanade,Darwin City,NT,800,-12.4631615,130.8385744,feature,2,2,0
Apartment,For Sale By Owner                                                                                   ,280000,43/79 Mitchell Street,Darwin City,NT,800,-12.4619867,130.8380948,standard,2,1,1
Apartment,For Sale By Owner                                                                                   ,280000,43/79 Mitchell Street,Darwin City,NT,800,-12.4619867,130.8380948,standard,2,1,1
Apartment,Chin Property Group,1250000,236/130 Esplanade,Darwin City,NT,800,-12.4596824,130.8348954,feature,3,2,2
Apartment,David Booth Real Estate Pty Ltd - Darwin,800000,123/8 Gardiner Street,Darwin City,NT,800,-12.4598489,130.8440603,standard,3,2,2
Apartment,First National Real Estate O'Donoghues - Darwin,449000,39/117 Smith Street,Darwin City,NT,800,-12.4564464,130.8343474,feature,3,2,1
Apartment,Professionals - DARWIN CITY,455000,905/12 Harvey Street,Darwin City,NT,800,-12.4559443,130.843118,standard,2,2,2
Unit,@realty - National Head Office Australia,685000,33/29 Woods Street,Darwin City,NT,800,-12.4619607,130.8442368,standard,2,2,2
Unit,Alliance Realty - Larrakeyah,289000,2036/55 Cavenagh Street,Darwin City,NT,800,-12.4598937,130.8399738,feature,2,2,1
Apartment,Property Now - MOOLOOLABA,429000,607/6 Finniss Street,Darwin City,NT,800,-12.4531666,130.8389038,standard,2,2,2
Apartment,Get Realty - PALMERSTON CITY,559000,1205/24 Litchfield Street,Darwin City,NT,800,-12.4608241,130.8426638,standard,2,2,1
Studio,PRD Darwin - DARWIN City,210000,149/21 Cavenagh Street,Darwin City,NT,800,-12.4630049,130.8427423,standard,0,1,1
Apartment,No Agent Property - BRIGHTON EAST,300000,613/43b Knuckey Street,Darwin City,NT,800,-12.4612527,130.8430486,standard,1,1,0
Apartment,Alliance Realty - Larrakeyah,450000,11/4 McMinn Street,Darwin City,NT,800,-12.4633778,130.8465864,feature,2,2,2
Apartment,Knight Frank (NT) - Darwin,300000,1303/43B Knuckey Street,Darwin City,NT,800,-12.4610184,130.8429839,feature,1,1,0
Unit,Real Estate Central - DARWIN CITY,480000,17/1 Dashwood Place,Darwin City,NT,800,-12.4559843,130.837446,standard,3,2,2
Unit,Darwin Residential and Commercial Real Estate Pty Ltd - CASUARINA,325000,1005/5 Gardiner Street,Darwin City,NT,800,-12.4598138,130.8436865,feature,2,2,2
Unit,No Agent Property - BRIGHTON EAST,440000,5103/5 Anchorage Crt,Darwin City,NT,800,-12.4685307,130.8456835,standard,1,1,1
Unit,All About Real Estate NT - DARWIN CITY,310000,2/93 Woods Street,Darwin City,NT,800,-12.4569215,130.8388233,standard,2,1,0
Unit,Sale By Home Owner - Australia,399000,30/28 Woods St,Darwin City,NT,800,-12.4616044,130.8447324,standard,1,1,2
Unit,Darwin Residential and Commercial Real Estate Pty Ltd - CASUARINA,430000,28/101 Mitchell Street,Darwin City,NT,800,-12.4596255,130.8357015,feature,1,1,1
Unit,Real Value Properties NT - Northern Territory,99950,50 Mitchell Street,Darwin City,NT,800,-12.4629946,130.8401281,standard,0,1,1
Apartment,David Booth Real Estate Pty Ltd - Darwin,990000,163/8 Gardiner Street,Darwin City,NT,800,-12.4598489,130.8440603,standard,3,2,2
Unit,Elders Real Estate - Darwin,610000,236/19B Kitchener Drive,Darwin City,NT,800,-12.4683699,130.8463365,standard,2,2,2
Unit,Knight Frank (NT) - Darwin,1199000,316/130 Esplanade,Darwin City,NT,800,-12.4596824,130.8348954,standard,3,2,2
Apartment,David Booth Real Estate Pty Ltd - Darwin,1100000,231/8 Gardiner Street,Darwin City,NT,800,-12.4598489,130.8440603,standard,3,2,2
House,Professionals - DARWIN CITY,435000,44 Woods Street,Darwin City,NT,800,-12.4605039,130.843428,premiere,2,1,1
House,Professionals - DARWIN CITY,435000,44 Woods Street,Darwin City,NT,800,-12.4605039,130.843428,premiere,2,1,1
Apartment,Nick Mousellis Real Estate - Eview Group Member,320000,14/14 Dashwood Place,Darwin City,NT,800,-12.455266,130.837332,premiere,3,2,2
Apartment,Nick Mousellis Real Estate - Eview Group Member,320000,14/14 Dashwood Place,Darwin City,NT,800,-12.455266,130.837332,premiere,3,2,2
Unit,Habitat Real Estate - THE GARDENS,310000,13/86  Woods Street,Darwin City,NT,800,-12.456931,130.840051,premiere,2,1,1
House,Ray White - NIGHTCLIFF,259000,1309/43B Knuckey Street,Darwin City,NT,800,-12.4610184,130.8429839,premiere,1,1,0
House,Ray White - NIGHTCLIFF,259000,1309/43B Knuckey Street,Darwin City,NT,800,-12.4610184,130.8429839,premiere,1,1,0
Unit,Carol Need Real Estate - Fannie Bay,439000,3/10 McLachlan Street,Darwin City,NT,800,-12.4601564,130.8376032,premiere,3,2,2
Unit,Carol Need Real Estate - Fannie Bay,439000,3/10 McLachlan Street,Darwin City,NT,800,-12.4601564,130.8376032,premiere,3,2,2
Apartment,iProperty NT - Darwin,825000,1832/27 Woods  Street,Darwin City,NT,800,-12.4621662,130.8444406,premiere,3,2,2
Unit,Nicole Wheeler@realty - LARRAKEYAH,820000,10/99 Gardens Road,Darwin City,NT,800,-12.4563759,130.836345,premiere,3,2,2
Unit,Nicole Wheeler@realty - LARRAKEYAH,820000,10/99 Gardens Road,Darwin City,NT,800,-12.4563759,130.836345,premiere,3,2,2
Unit,Real Estate Central Projects - Darwin,439000,103/39 Cavenagh Street,Darwin City,NT,800,-12.4613435,130.8414744,premiere,2,2,1
Unit,Real Estate Central Projects - Darwin,439000,103/39 Cavenagh Street,Darwin City,NT,800,-12.4613435,130.8414744,premiere,2,2,1
Apartment,Real Estate Central - DARWIN CITY,455000,10/39 Cavenagh Street,Darwin City,NT,800,-12.4614181,130.8415118,premiere,2,2,1
Apartment,Real Estate Central - DARWIN CITY,455000,10/39 Cavenagh Street,Darwin City,NT,800,-12.4614181,130.8415118,premiere,2,2,1
Apartment,Professionals - DARWIN CITY,280000,12 51 Knuckey Street,Darwin City,NT,800,-12.4602736,130.8440011,premiere,1,1,1
Apartment,Professionals - DARWIN CITY,280000,12 51 Knuckey Street,Darwin City,NT,800,-12.4602736,130.8440011,premiere,1,1,1
Unit,Elders Real Estate - Darwin,439000,16/14 Dashwood Place,Darwin City,NT,800,-12.455266,130.837332,premiere,2,2,2
Unit,Elders Real Estate - Darwin,439000,16/14 Dashwood Place,Darwin City,NT,800,-12.455266,130.837332,premiere,2,2,2
House,Knight Frank (NT) - Darwin,775000,406/130 Esplanade,Darwin City,NT,800,-12.4596824,130.8348954,premiere,3,2,2
House,Knight Frank (NT) - Darwin,775000,406/130 Esplanade,Darwin City,NT,800,-12.4596824,130.8348954,premiere,3,2,2
Apartment,Get Realty - PALMERSTON CITY,625000,2403/43E Knuckey Street,Darwin City,NT,800,-12.4612527,130.8430487,premiere,3,2,2
Apartment,Get Realty - PALMERSTON CITY,625000,2403/43E Knuckey Street,Darwin City,NT,800,-12.4612527,130.8430487,premiere,3,2,2
Apartment,Knight Frank (NT) - Darwin,490000,6604/7 Anchorage Court,Darwin City,NT,800,-12.4693108,130.8463929,premiere,1,1,1
Apartment,Knight Frank (NT) - Darwin,490000,6604/7 Anchorage Court,Darwin City,NT,800,-12.4693108,130.8463929,premiere,1,1,1
Unit,Nick Mousellis Real Estate - Eview Group Member,337500,1706/43B Knuckey Street,Darwin City,NT,800,-12.4610184,130.8429839,premiere,1,1,0
Unit,Nick Mousellis Real Estate - Eview Group Member,337500,1706/43B Knuckey Street,Darwin City,NT,800,-12.4610184,130.8429839,premiere,1,1,0
House,Call2View Real Estate - Palmerston,439000,24/8 Knuckey Street,Darwin City,NT,800,-12.464388,130.8405668,premiere,2,2,1
House,Call2View Real Estate - Palmerston,439000,24/8 Knuckey Street,Darwin City,NT,800,-12.464388,130.8405668,premiere,2,2,1
Apartment,All Real Estate NT,440000,2/24 Harry Chan Avenue,Darwin City,NT,800,-12.464205,130.8464613,midtier,2,2,2
Apartment,All Real Estate NT,440000,2/24 Harry Chan Avenue,Darwin City,NT,800,-12.464205,130.8464613,midtier,2,2,2
Apartment,Professionals - DARWIN CITY,640000,116/19B Kitchener Drive,Darwin City,NT,800,-12.4679847,130.8462734,premiere,2,2,2
Apartment,Professionals - DARWIN CITY,640000,116/19B Kitchener Drive,Darwin City,NT,800,-12.4679847,130.8462734,premiere,2,2,2
Apartment,Knight Frank (NT) - Darwin,500000,126/19 Kitchener Drive,Darwin City,NT,800,-12.4679847,130.8462734,premiere,1,1,1
Apartment,Knight Frank (NT) - Darwin,500000,126/19 Kitchener Drive,Darwin City,NT,800,-12.4679847,130.8462734,premiere,1,1,1
Unit,Colliers International - Darwin,795000,35/24 Harry Chan Avenue,Darwin City,NT,800,-12.464205,130.8464613,premiere,3,3,4
Unit,Colliers International - Darwin,795000,35/24 Harry Chan Avenue,Darwin City,NT,800,-12.464205,130.8464613,premiere,3,3,4
Unit,Core Realty NT - RAPID CREEK,950000,424/130 Esplanade,Darwin City,NT,800,-12.4596824,130.8348954,premiere,3,2,2
Unit,Core Realty NT - RAPID CREEK,950000,424/130 Esplanade,Darwin City,NT,800,-12.4596824,130.8348954,premiere,3,2,2
House,Ray White - NIGHTCLIFF,485000,1109/102 Esplanade,Darwin City,NT,800,-12.4623156,130.8377441,premiere,2,2,2
House,Ray White - NIGHTCLIFF,485000,1109/102 Esplanade,Darwin City,NT,800,-12.4623156,130.8377441,premiere,2,2,2
Unit,Property Shop - Darwin,250000,Unit 55/79 Mitchell Street,Darwin City,NT,800,-12.4619867,130.8380948,premiere,1,1,1
Unit,Property Shop - Darwin,250000,Unit 55/79 Mitchell Street,Darwin City,NT,800,-12.4619867,130.8380948,premiere,1,1,1
Apartment,Darwin Residential and Commercial Real Estate Pty Ltd - CASUARINA,549000,1006/102 Esplanade,Darwin City,NT,800,-12.4621332,130.8376815,premiere,2,2,2
Apartment,Darwin Residential and Commercial Real Estate Pty Ltd - CASUARINA,549000,1006/102 Esplanade,Darwin City,NT,800,-12.4621332,130.8376815,premiere,2,2,2
Apartment,Knight Frank (NT) - Darwin,299000,18/110 Esplanade,Darwin City,NT,800,-12.4616472,130.836918,premiere,1,1,1
Apartment,Knight Frank (NT) - Darwin,299000,18/110 Esplanade,Darwin City,NT,800,-12.4616472,130.836918,premiere,1,1,1
Apartment,Elaine Mills Property Management - COOLALINGA,395000,122.21 Cavenagh St,Darwin City,NT,800,-12.4604473,130.8411082,premiere,3,1,1
Apartment,Elaine Mills Property Management - COOLALINGA,395000,122.21 Cavenagh St,Darwin City,NT,800,-12.4604473,130.8411082,premiere,3,1,1
Unit,LJ Hooker Darwin -   ,475000,11/12 Mclachlan Street,Darwin City,NT,800,-12.4600101,130.8377486,premiere,2,2,2
Unit,LJ Hooker Darwin -   ,475000,11/12 Mclachlan Street,Darwin City,NT,800,-12.4600101,130.8377486,premiere,2,2,2
Apartment,Knight Frank (NT) - Darwin,465000,5102/5 Anchorage Court,Darwin City,NT,800,-12.4684901,130.8457673,premiere,1,1,1
Apartment,Knight Frank (NT) - Darwin,465000,5102/5 Anchorage Court,Darwin City,NT,800,-12.4684901,130.8457673,premiere,1,1,1
Apartment,Real Estate Central Projects - Darwin,600000,501/102 Esplanade,Darwin City,NT,800,-12.4623861,130.8375487,premiere,3,2,2
Apartment,Real Estate Central Projects - Darwin,600000,501/102 Esplanade,Darwin City,NT,800,-12.4623861,130.8375487,premiere,3,2,2
Apartment,Knight Frank (NT) - Darwin,980000,326/130 Esplanade,Darwin City,NT,800,-12.4596824,130.8348954,premiere,3,2,2
Apartment,Knight Frank (NT) - Darwin,980000,326/130 Esplanade,Darwin City,NT,800,-12.4596824,130.8348954,premiere,3,2,2
Apartment,First National Real Estate O'Donoghues - Darwin,1050000,221/130 Esplanade,Darwin City,NT,800,-12.4596824,130.8348954,premiere,3,2,2
Apartment,First National Real Estate O'Donoghues - Darwin,1050000,221/130 Esplanade,Darwin City,NT,800,-12.4596824,130.8348954,premiere,3,2,2
House,Ray White City (NT) -    ,450000,6607/7 Anchorage Court,Darwin City,NT,800,-12.4693664,130.846355,premiere,1,1,1
House,Ray White City (NT) -    ,450000,6607/7 Anchorage Court,Darwin City,NT,800,-12.4693664,130.846355,premiere,1,1,1
Apartment,Real Estate Central - DARWIN CITY,749000,17/9 Esplanade,Darwin City,NT,800,-12.465519,130.8470554,premiere,3,2,2
Apartment,Real Estate Central - DARWIN CITY,749000,17/9 Esplanade,Darwin City,NT,800,-12.465519,130.8470554,premiere,3,2,2
Unit,Real Estate NT by George Pikos - FANNIE BAY,289000,302/6 Briggs St,Darwin City,NT,800,-12.4605866,130.8383728,premiere,1,1,1
Unit,Real Estate NT by George Pikos - FANNIE BAY,289000,302/6 Briggs St,Darwin City,NT,800,-12.4605866,130.8383728,premiere,1,1,1
Apartment,Ausway Group,490000,14/130 Smith street,Darwin City,NT,800,-12.4568955,130.8355878,premiere,2,2,2
Apartment,Ausway Group,490000,14/130 Smith street,Darwin City,NT,800,-12.4568955,130.8355878,premiere,2,2,2
Unit,Habitat Real Estate - THE GARDENS,565000,703/29 Daly Street,Darwin City,NT,800,-12.4556402,130.8378806,premiere,2,2,2
Unit,Habitat Real Estate - THE GARDENS,565000,703/29 Daly Street,Darwin City,NT,800,-12.4556402,130.8378806,premiere,2,2,2
Apartment,Call2View Real Estate - Palmerston,399000,10/24 Harvey Street,Darwin City,NT,800,-12.4554995,130.8421339,premiere,2,2,2
Apartment,Call2View Real Estate - Palmerston,399000,10/24 Harvey Street,Darwin City,NT,800,-12.4554995,130.8421339,premiere,2,2,2
Apartment,First National Real Estate O'Donoghues - Darwin,469000,3/107 Woods Street,Darwin City,NT,800,-12.4554672,130.8375433,premiere,3,2,2
Apartment,First National Real Estate O'Donoghues - Darwin,469000,3/107 Woods Street,Darwin City,NT,800,-12.4554672,130.8375433,premiere,3,2,2
Apartment,First National Real Estate O'Donoghues - Darwin,649000,10/3 Harvey Street,Darwin City,NT,800,-12.4572482,130.8432945,premiere,4,2,2
Apartment,First National Real Estate O'Donoghues - Darwin,649000,10/3 Harvey Street,Darwin City,NT,800,-12.4572482,130.8432945,premiere,4,2,2
Apartment,Professionals - DARWIN CITY,400000,205/12 Harvey Street,Darwin City,NT,800,-12.4558576,130.8431684,premiere,2,2,1
Apartment,Professionals - DARWIN CITY,400000,205/12 Harvey Street,Darwin City,NT,800,-12.4558576,130.8431684,premiere,2,2,1
Apartment,First National Real Estate O'Donoghues - Darwin,800000,13/99 Gardens Road,Darwin City,NT,800,-12.4563759,130.836345,premiere,3,2,2
Apartment,First National Real Estate O'Donoghues - Darwin,800000,13/99 Gardens Road,Darwin City,NT,800,-12.4563759,130.836345,premiere,3,2,2
Apartment,Renee's Realty NT - DURACK,299000,512/6 Carey Street,Darwin City,NT,800,-12.4599233,130.846561,premiere,1,1,1
Apartment,Renee's Realty NT - DURACK,299000,512/6 Carey Street,Darwin City,NT,800,-12.4599233,130.846561,premiere,1,1,1
Unit,Property Now - MOOLOOLABA,580000,19 KITCHENER DRIVE,Darwin City,NT,800,-12.468273,130.8464146,standard,1,1,1
Unit,Property Now - MOOLOOLABA,580000,19 KITCHENER DRIVE,Darwin City,NT,800,-12.468273,130.8464146,standard,1,1,1
Apartment,Raine & Horne - Darwin,375000,21/24 Harvey Street,Darwin City,NT,800,-12.4554995,130.8421339,premiere,2,2,2
Apartment,Raine & Horne - Darwin,375000,21/24 Harvey Street,Darwin City,NT,800,-12.4554995,130.8421339,premiere,2,2,2
Apartment,North Property NT - STUART PARK,489000,803/24 Litchfield Street,Darwin City,NT,800,-12.4608241,130.8426638,feature,2,2,1
Apartment,North Property NT - STUART PARK,489000,803/24 Litchfield Street,Darwin City,NT,800,-12.4608241,130.8426638,feature,2,2,1
Unit,Elders Real Estate - Darwin,195000,38/117 Smith Street,Darwin City,NT,800,-12.4564464,130.8343474,premiere,1,1,1
Unit,Elders Real Estate - Darwin,195000,38/117 Smith Street,Darwin City,NT,800,-12.4564464,130.8343474,premiere,1,1,1
Apartment,LJ Hooker Darwin -   ,505000,708/102 Esplanade,Darwin City,NT,800,-12.462184,130.8376045,premiere,2,2,2
Apartment,LJ Hooker Darwin -   ,505000,708/102 Esplanade,Darwin City,NT,800,-12.462184,130.8376045,premiere,2,2,2
Apartment,Ausway Group,325000,1004/3  Gardiner street,Darwin City,NT,800,-12.4598273,130.8436849,feature,2,2,2
Apartment,Piening Property Sales - COOLALINGA,180000,106/21 Cavenagh Street,Darwin City,NT,800,-12.4630049,130.8427423,feature,1,1,0
Apartment,Piening Property Sales - COOLALINGA,180000,106/21 Cavenagh Street,Darwin City,NT,800,-12.4630049,130.8427423,feature,1,1,0
Unit,Property Now - MOOLOOLABA,145000,UNIT 51/21 CAVENAGH STREET,Darwin City,NT,800,-12.4630049,130.8427423,standard,1,1,0
Unit,Property Now - MOOLOOLABA,145000,UNIT 51/21 CAVENAGH STREET,Darwin City,NT,800,-12.4630049,130.8427423,standard,1,1,0
Apartment,Ausway Group,215000,309/3  Gardiner street,Darwin City,NT,800,-12.4598273,130.8436849,feature,1,1,1
Apartment,@realty - National Head Office Australia,450000,607/31 Woods Street,Darwin City,NT,800,-12.4615473,130.8438835,standard,2,2,1
Apartment,@realty - National Head Office Australia,450000,607/31 Woods Street,Darwin City,NT,800,-12.4615473,130.8438835,standard,2,2,1
Apartment,David Booth Real Estate Pty Ltd - Darwin,865000,181/8 Gardiner Street,Darwin City,NT,800,-12.4598489,130.8440603,standard,3,2,2
Apartment,David Booth Real Estate Pty Ltd - Darwin,865000,181/8 Gardiner Street,Darwin City,NT,800,-12.4598489,130.8440603,standard,3,2,2
Apartment,Elders Real Estate - Darwin,400000,11/27 McMinn Street,Darwin City,NT,800,-12.4605289,130.8448409,premiere,2,2,1
Apartment,Elders Real Estate - Darwin,400000,11/27 McMinn Street,Darwin City,NT,800,-12.4605289,130.8448409,premiere,2,2,1
Unit,LJ Hooker Darwin -   ,369000,15/4 McMinn Street,Darwin City,NT,800,-12.4633778,130.8465864,premiere,2,2,2
Unit,LJ Hooker Darwin -   ,369000,15/4 McMinn Street,Darwin City,NT,800,-12.4633778,130.8465864,premiere,2,2,2
Apartment,Knight Frank (NT) - Darwin,350000,610/79 Smith Street,Darwin City,NT,800,-12.4609744,130.8386857,feature,1,1,1
Apartment,Knight Frank (NT) - Darwin,350000,610/79 Smith Street,Darwin City,NT,800,-12.4609744,130.8386857,feature,1,1,1
Unit,Real Estate Central - DARWIN CITY,549000,19/96 Woods Street,Darwin City,NT,800,-12.456114,130.8391992,premiere,3,2,2
Unit,Real Estate Central - DARWIN CITY,549000,19/96 Woods Street,Darwin City,NT,800,-12.456114,130.8391992,premiere,3,2,2
Apartment,First National Real Estate O'Donoghues - Darwin,539000,609/31 Woods Street,Darwin City,NT,800,-12.4615707,130.8437583,standard,2,2,1
Apartment,First National Real Estate O'Donoghues - Darwin,539000,609/31 Woods Street,Darwin City,NT,800,-12.4615707,130.8437583,standard,2,2,1
Apartment,Elders Real Estate - Darwin,490000,1109/31 Woods Street,Darwin City,NT,800,-12.4614571,130.8438404,premiere,2,2,1
Apartment,Elders Real Estate - Darwin,490000,1109/31 Woods Street,Darwin City,NT,800,-12.4614571,130.8438404,premiere,2,2,1
Apartment,Ray White Bayside - FANNIE BAY,420000,9/144 Smith Street,Darwin City,NT,800,-12.4558534,130.8346739,premiere,2,2,2
Apartment,Ray White Bayside - FANNIE BAY,420000,9/144 Smith Street,Darwin City,NT,800,-12.4558534,130.8346739,premiere,2,2,2
Unit,Real Estate Central Projects - DARWIN,510000,601/12 Harvey Street,Darwin City,NT,800,-12.4561574,130.8427881,standard,3,2,2
Unit,Real Estate Central Projects - DARWIN,510000,601/12 Harvey Street,Darwin City,NT,800,-12.4561574,130.8427881,standard,3,2,2
Unit,Go Wise - WOOLNER,535000,19/3 Manton Street,Darwin City,NT,800,-12.4594212,130.8431186,premiere,2,2,2
Unit,Go Wise - WOOLNER,535000,19/3 Manton Street,Darwin City,NT,800,-12.4594212,130.8431186,premiere,2,2,2
Unit,North Property NT - STUART PARK,335000,304/79 Smith Street,Darwin City,NT,800,-12.4606385,130.8384183,feature,1,1,1
Unit,North Property NT - STUART PARK,335000,304/79 Smith Street,Darwin City,NT,800,-12.4606385,130.8384183,feature,1,1,1
Apartment,Professionals - DARWIN CITY,850000,39/144 Smith Street,Darwin City,NT,800,-12.4558534,130.8346739,feature,4,2,2
Apartment,Professionals - DARWIN CITY,850000,39/144 Smith Street,Darwin City,NT,800,-12.4558534,130.8346739,feature,4,2,2
Apartment,Professionals - DARWIN CITY,510000,701/12 Harvey Street,Darwin City,NT,800,-12.4561566,130.8427162,feature,3,2,2
Apartment,Professionals - DARWIN CITY,510000,701/12 Harvey Street,Darwin City,NT,800,-12.4561566,130.8427162,feature,3,2,2
Unit,Elders Real Estate - Darwin,1300000,433/130 Esplanade,Darwin City,NT,800,-12.4596824,130.8348954,premiere,3,2,2
Unit,Elders Real Estate - Darwin,1300000,433/130 Esplanade,Darwin City,NT,800,-12.4596824,130.8348954,premiere,3,2,2
Unit,Nick Mousellis Real Estate - Eview Group Member,580000,6601/7 Anchorage Court,Darwin City,NT,800,-12.4691334,130.846162,premiere,2,2,2
Unit,Nick Mousellis Real Estate - Eview Group Member,580000,6601/7 Anchorage Court,Darwin City,NT,800,-12.4691334,130.846162,premiere,2,2,2
Apartment,Professionals - DARWIN CITY,470000,109/12 Harvey Street,Darwin City,NT,800,-12.4562036,130.8428991,feature,3,2,1
Apartment,Professionals - DARWIN CITY,470000,109/12 Harvey Street,Darwin City,NT,800,-12.4562036,130.8428991,feature,3,2,1
Apartment,First National Real Estate O'Donoghues - Darwin,539000,1607/31 Woods Street,Darwin City,NT,800,-12.4615419,130.8439228,feature,2,2,1
Apartment,First National Real Estate O'Donoghues - Darwin,539000,1607/31 Woods Street,Darwin City,NT,800,-12.4615419,130.8439228,feature,2,2,1
Unit,LJ Hooker Darwin -   ,519000,709/102 The Esplanade,Darwin City,NT,800,-12.4622824,130.8377036,premiere,2,2,2
Unit,LJ Hooker Darwin -   ,519000,709/102 The Esplanade,Darwin City,NT,800,-12.4622824,130.8377036,premiere,2,2,2
Unit,LJ Hooker Darwin -   ,219000,512/5 Gardiner Street,Darwin City,NT,800,-12.4598138,130.8436865,premiere,1,1,1
Unit,LJ Hooker Darwin -   ,219000,512/5 Gardiner Street,Darwin City,NT,800,-12.4598138,130.8436865,premiere,1,1,1
Apartment,Real Estate NT by George Pikos - FANNIE BAY,315000,1109/6 Carey St,Darwin City,NT,800,-12.4600503,130.8464664,feature,1,1,1
Apartment,Real Estate NT by George Pikos - FANNIE BAY,315000,1109/6 Carey St,Darwin City,NT,800,-12.4600503,130.8464664,feature,1,1,1
Unit,Alliance Realty - Larrakeyah,450000,15/14 Dashwood Place,Darwin City,NT,800,-12.455266,130.837332,feature,3,2,2
Unit,Alliance Realty - Larrakeyah,450000,15/14 Dashwood Place,Darwin City,NT,800,-12.455266,130.837332,feature,3,2,2
Apartment,Cate Killiner Real Estate - Woolner,380000,406/90 Esplanade,Darwin City,NT,800,-12.4631615,130.8385744,standard,2,2,0
Apartment,Cate Killiner Real Estate - Woolner,380000,406/90 Esplanade,Darwin City,NT,800,-12.4631615,130.8385744,standard,2,2,0
Apartment,Real Estate NT by George Pikos - FANNIE BAY,275000,36/79 Mitchell St,Darwin City,NT,800,-12.4619867,130.8380948,feature,2,1,1
Apartment,Real Estate NT by George Pikos - FANNIE BAY,275000,36/79 Mitchell St,Darwin City,NT,800,-12.4619867,130.8380948,feature,2,1,1
Apartment,Elders Real Estate - Darwin,1070000,204/8A Gardiner Street,Darwin City,NT,800,-12.4599414,130.8439621,feature,4,2,2
Apartment,Elders Real Estate - Darwin,1070000,204/8A Gardiner Street,Darwin City,NT,800,-12.4599414,130.8439621,feature,4,2,2
Unit,Territory Real Estate - Darwin,270000,2/51 Knuckey Street,Darwin City,NT,800,-12.4602736,130.8440011,feature,1,1,1
Unit,Territory Real Estate - Darwin,270000,2/51 Knuckey Street,Darwin City,NT,800,-12.4602736,130.8440011,feature,1,1,1
